Data ke-,Encode image,Moondream,Argostranslate,Piper TTS,Total,,,
1,0.075,7.343,13.044,3.351,23.814,,Rata rata total latensi,13.65062069
2,0.015,5.401,3.434,3.31,12.16,,,
3,0.009,5.35,3.202,2.892,11.454,,,
4,0.013,9.716,15.659,4.803,30.192,,,
5,0.06,8.031,3.077,2.915,14.084,,,
6,0.044,5.997,12.548,3.313,21.904,,,
7,0.013,5.087,3.688,3.496,12.284,,,
8,0.012,5.266,3.703,3.231,12.212,,,
9,0.015,5.44,2.352,3.197,11.004,,,
10,0.024,3.622,6.906,1.999,12.551,,,
11,0.035,5.941,11.53,3.261,20.768,,,
12,0.026,6.004,4.773,3.811,14.615,,,
13,0.076,6.762,0.074,2.312,9.224,,,
14,0.026,5.498,3.746,3.257,12.527,,,
15,0.016,5.371,3.817,3.523,12.727,,,
16,0.048,5.704,11.085,2.974,19.812,,,
17,0.013,5.314,3.341,3.406,12.073,,,
18,0.028,5.514,3.892,3.152,12.587,,,
19,0.025,5.143,3.562,3.217,11.948,,,
20,0.014,5.388,3.418,3.243,12.064,,,
21,0.014,3.391,0.966,1.93,6.301,,,
22,0.096,6.881,0.121,2.297,9.395,,,
23,0.015,5.352,3.209,3.174,11.75,,,
24,0.015,5.328,2.797,2.569,10.709,,,
25,0.013,5.2,4.162,3.56,12.936,,,
26,0.012,7.873,0.282,3.084,11.25,,,
27,0.099,7.465,0.431,2.748,10.744,,,
28,0.388,7.321,0.346,2.962,11.017,,,
29,0.015,5.295,5.457,4.333,15.101,,,
30,0.024,5.614,4.35,4.196,14.184,,,
31,0.08,7.522,0.399,3.335,11.336,,,
32,0.02,6.02,4.815,4.195,15.051,,,
33,0.02,5.821,4.479,3.707,14.026,,,
34,0.016,5.769,2.728,3.291,11.805,,,
35,0.019,6.123,3.982,3.289,13.412,,,
36,0.016,7.547,0.37,3.794,11.726,,,
37,0.02,5.555,4.9,3.644,14.119,,,
38,0.015,5.588,3.383,2.976,11.962,,,
39,0.023,5.566,4.745,3.562,13.896,,,
40,0.023,5.508,4.182,3.726,13.439,,,
41,0.031,7.806,0.354,2.626,10.818,,,
42,0.018,6.108,4.296,3.639,14.061,,,
43,0.036,8.13,0.24,2.218,10.625,,,
44,0.048,6.051,3.178,3.317,12.595,,,
45,0.059,5.98,3.85,3.218,13.107,,,
46,0.049,5.982,2.83,3.086,11.947,,,
47,0.067,6.018,3.973,3.547,13.606,,,
48,0.074,8.066,0.092,2.245,10.476,,,
49,0.044,6.81,4.31,3.364,14.529,,,
50,0.043,7.041,3.25,2.881,13.215,,,
51,0.079,7.089,12.018,3.269,22.456,,,
52,0.189,7.985,0.161,2.335,10.67,,,
53,0.051,6.901,4.335,3.356,14.643,,,
54,0.044,6.873,3.942,3.415,14.274,,,
55,0.064,7.12,4.83,3.724,15.738,,,
56,0.057,6.928,5.254,3.501,15.74,,,
57,0.045,6.799,3.073,3.354,13.272,,,
58,0.049,6.733,5.171,3.847,15.801,,,
